Country,IUU_Score,Coastal.score,Coastal.score.by.Vulnerability,Size.of.EEZ,Agreement.over.all.maritime.boundaries,Dependency.on.fish.for.protein,Authorise.foreign.vessels.to.operate.in.EEZ,Coastal.score.by.Prevalence,Has.MSC.certified.fisheries,Views.of.MCS.practitioners.on.coastal.compliance.incidents,Coastal.score.by.Response,Coastal.State.is.contracting.party.or.cooperating.non.contracting.party.to.all.relevant.RFMOs,Operate.a.national.VMS.FMC.centre,Flag.score,Flag.score.by.Vulnerability,Distant.water.vessels.on.RFMO.RAVs,Distant.water.vessels.under.several.RFMOs,Flag.score.by.Prevalence,Vessels.on.IUU.lists,View.of.fisheries.observers.on.flag.state.compliance.incidents,Views.of.MCS.practitioners.on.flag.state.compliance.incidents,Flag.score.by.Response,Accepted.FAO.Compliance.Agreement,Authorised.vessel.data.provided.to.FAO.HSVAR,Provision.of.vessel.data.for.inclusion.in.Global.Record,Compliance.with.RFMO.flag.state.obligations,Flag.State.is.contracting.party.or.cooperating.non.contracting.party.to.all.relevant.RFMOs,Port.score,Port.score.by.Vulnerability,Number.of.fishing.ports,Port.visits.by.foreign.fishing.or.carrier.vessels,Port.score.by.Prevalence,Views.of.MCS.practitioners.on.port.compliance.incidents,View.of.fisheries.observers.on.port.compliance.incidents,Port.score.by.Response,Party.to.the.PSMA,Designated.ports.specified.for.entry.by.foreign.vessels,Compliance.with.RFMO.port.state.obligations,General.score,General.score.by.Vulnerability,Trade.balance.for.fisheries.products,Share.of.global.imports,Perception.of.levels.of.corruption,Gross.national.income.per.capita,Volume.of.catches,General.score.by.Prevalence,Carded..under.the.EU.IUU.Regulation,Identified..by.NOAA.for.IUU.fishing,Mentions.of.IUU.fishing.in.media.reports,General.score.by.Response,Mandatory.vessel.tracking.for.commercial.seagoing.fleet,Demand.for.MSC.products,Ratification.accession.of.UNCLOS.Convention,Ratification.accession.of.UNFSA,Mentions.in.media.reports.to.combatting.IUU.fishing,Have.a.NPOA.IUU,Market.State.is.contracting.party.or.cooperating.non.contracting.party.to.relevant.RFMOs
Slovenia,1.91,1.56,1.17,1,1,2,1,2.6,5,1,1,1,1,1.58,1,1,1,1,1,1,1,2.56,1,4,5,2,1,2.33,4,3,5,1,1,1,2.5,1,5,1,2.1,1.78,3,1,2,2,1,1,1,1,1,2.86,1,4,1,1,5,5,1
Uruguay,1.89,1.91,1.5,2,1,1,NA,2.6,5,1,1,1,NA,1.42,1,1,1,1,1,1,1,2.11,1,5,1,3,1,2.6,4,3,5,3,3,3,1,1,NA,1,1.92,1.67,2,1,2,2,1,1,1,1,1,3,NA,5,1,1,5,NA,1
Germany,1.89,1.19,1.5,2,1,2,1,1,1,1,1,1,1,2.08,3,2,4,1.33,1,1,2,2.22,1,3,1,4,1,2.22,5,5,5,1,1,1,1.75,1,1,3,1.9,1.44,2,4,1,1,1,1.43,1,1,2,2.43,1,1,1,1,5,5,1
Iceland,1.86,2.13,4,4,1,5,5,1,1,1,1,1,1,1.57,2.5,2,3,1,1,1,1,1.5,5,NA,1,1,1,1.93,4.5,4,5,1,1,1,1,1,NA,1,1.93,2.22,5,1,2,1,3,1,1,1,1,2.27,1,4,1,1,5,NA,1
Ireland,1.85,1.71,3,4,1,3,NA,1.4,2,1,1,1,1,1.83,3,3,3,1,1,1,1,1.89,1,3,1,3,1,2.33,4.5,4,5,1,1,1,2.2,1,NA,3,1.67,1.44,2,1,2,1,1,1,1,1,1,2.27,1,4,1,1,5,NA,1
Tonga,1.82,3,4.33,4,5,3,5,2.6,5,1,1.8,3,1,1.17,1,1,1,1,1,1,1,1.5,5,NA,1,1,1,1.56,3.5,2,5,1,1,1,1,1,1,1,1.85,2.17,2,1,NA,4,1,1,1,1,1,2.14,1,5,1,1,5,1,1
Belize,1.78,1.69,1.5,2,1,2,1,2.6,5,1,1,1,1,1.5,1.5,2,1,2,1,3,2,1,1,1,1,1,1,2.07,3,1,5,1,1,1,2.6,5,NA,1,1.93,2.67,5,1,NA,4,1,1.43,1,1,2,1.86,1,5,1,1,3,1,1
Bulgaria,1.74,2,2.5,2,5,1,NA,2.6,5,1,1,1,1,1.33,2,3,1,1,1,1,1,1.22,1,3,1,1,1,1.8,4,3,5,1,1,1,1,1,NA,1,1.93,2.22,2,1,3,3,1,1,1,1,1,2.27,1,4,1,1,5,NA,1
Sweden,1.73,1.94,3.5,3,1,4,5,1,1,1,1,1,1,1.1,1,1,NA,1,1,1,1,1.22,1,3,1,1,1,1.89,5,5,5,1,1,1,1,1,1,1,1.97,1.33,1,4,1,1,1,1,1,1,1,2.86,1,4,1,1,5,5,1
Poland,1.68,1.81,1.83,1,5,2,1,2.6,5,1,1,1,1,1.46,2,1,3,1,1,1,1,1.56,1,3,1,2,1,1.8,4,3,5,1,1,1,1,1,NA,1,1.74,2.11,1,3,3,2,1,1,1,1,1,1.91,1,2,1,1,5,NA,1
Finland,1.67,1.69,1.83,2,1,4,1,2.2,4,1,1,1,1,1.11,1,1,NA,1,1,1,1,1.33,1,3,1,NA,1,1.93,4.5,4,5,1,1,1,1,1,1,NA,1.87,1.44,5,1,1,1,1,1,1,1,1,2.57,1,2,1,1,5,5,1
Estonia,1.67,1.44,1.5,2,1,2,1,1.8,3,1,1,1,1,1.21,1.5,1,2,1,1,1,1,1.22,1,3,1,1,1,1.78,4.5,4,5,1,1,1,1,1,1,1,2.1,1.56,1,1,2,2,1,1,1,1,1,3,1,5,1,1,5,5,1
Latvia,1.57,1.5,1.33,1,1,3,1,2.2,4,1,1,1,1,1.33,1.5,1,2,1,1,1,1,1.56,1,3,1,2,1,1.67,4,3,5,1,1,1,1,1,1,1,1.73,1.89,1,1,3,2,1,1,1,1,1,2,1,4,1,1,5,1,1
Belgium,1.43,1.63,1.33,1,1,3,1,2.6,5,1,1,1,1,1.08,1,1,1,1,1,1,1,1.22,1,3,1,1,1,1.67,4,3,5,1,1,1,1,1,1,1,1.47,1.67,2,3,2,1,1,1,1,1,1,1.57,1,1,1,1,5,1,1
