Indicator ID,Indicator name,Country,Region,Ocean,Resp,Type,Year,Score
1,Distant water vessels on RFMO RAVs,Haiti,Caribbean & Central America,West Atlantic,Flag,Vulnerability,2023,1
1,Distant water vessels on RFMO RAVs,Honduras,Caribbean & Central America,Eastern Pacific and West Atlantic,Flag,Vulnerability,2023,1
1,Distant water vessels on RFMO RAVs,Iceland,Europe,East Atlantic,Flag,Vulnerability,2023,3
1,Distant water vessels on RFMO RAVs,India,Asia,East Indian Ocean and West Indian Ocean,Flag,Vulnerability,2023,1
1,Distant water vessels on RFMO RAVs,Indonesia,Asia,East Indian Ocean and Western Pacific,Flag,Vulnerability,2023,5
1,Distant water vessels on RFMO RAVs,Iran,Middle East,West Indian Ocean,Flag,Vulnerability,2023,5
1,Distant water vessels on RFMO RAVs,Iraq,Middle East,West Indian Ocean,Flag,Vulnerability,2023,1
1,Distant water vessels on RFMO RAVs,Ireland,Europe,East Atlantic,Flag,Vulnerability,2023,5
1,Distant water vessels on RFMO RAVs,Israel,Middle East,Mediterranean & Black Sea,Flag,Vulnerability,2023,1
1,Distant water vessels on RFMO RAVs,Italy,Europe,Mediterranean & Black Sea,Flag,Vulnerability,2023,5
1,Distant water vessels on RFMO RAVs,Jamaica,Caribbean & Central America,West Atlantic,Flag,Vulnerability,2023,1
1,Distant water vessels on RFMO RAVs,Japan,Asia,Western Pacific,Flag,Vulnerability,2023,5
1,Distant water vessels on RFMO RAVs,Jordan,Middle East,Mediterranean & Black Sea,Flag,Vulnerability,2023,1
1,Distant water vessels on RFMO RAVs,Kenya,Africa,West Indian Ocean,Flag,Vulnerability,2023,1
1,Distant water vessels on RFMO RAVs,Kiribati,Oceania,Western Pacific,Flag,Vulnerability,2023,2
1,Distant water vessels on RFMO RAVs,Korea (North),Asia,Western Pacific,Flag,Vulnerability,2023,1
1,Distant water vessels on RFMO RAVs,Korea (Rep. South),Asia,Western Pacific,Flag,Vulnerability,2023,5
1,Distant water vessels on RFMO RAVs,Kuwait,Middle East,West Indian Ocean,Flag,Vulnerability,2023,1
1,Distant water vessels on RFMO RAVs,Latvia,Europe,East Atlantic,Flag,Vulnerability,2023,1
1,Distant water vessels on RFMO RAVs,Lebanon,Middle East,Mediterranean & Black Sea,Flag,Vulnerability,2023,1
1,Distant water vessels on RFMO RAVs,Liberia,Africa,East Atlantic,Flag,Vulnerability,2023,2
1,Distant water vessels on RFMO RAVs,Libya,Africa,Mediterranean & Black Sea,Flag,Vulnerability,2023,5
1,Distant water vessels on RFMO RAVs,Lithuania,Europe,East Atlantic,Flag,Vulnerability,2023,3
1,Distant water vessels on RFMO RAVs,Madagascar,Africa,West Indian Ocean,Flag,Vulnerability,2023,1
1,Distant water vessels on RFMO RAVs,Malaysia,Asia,East Indian Ocean and Western Pacific,Flag,Vulnerability,2023,2
1,Distant water vessels on RFMO RAVs,Maldives,Asia,West Indian Ocean,Flag,Vulnerability,2023,5
1,Distant water vessels on RFMO RAVs,Malta,Europe,Mediterranean & Black Sea,Flag,Vulnerability,2023,5
1,Distant water vessels on RFMO RAVs,Marshall Isl.,Oceania,Western Pacific,Flag,Vulnerability,2023,2
1,Distant water vessels on RFMO RAVs,Mauritania,Africa,East Atlantic,Flag,Vulnerability,2023,1
1,Distant water vessels on RFMO RAVs,Mauritius,Africa,West Indian Ocean,Flag,Vulnerability,2023,2
1,Distant water vessels on RFMO RAVs,Mexico,Caribbean & Central America,Eastern Pacific and West Atlantic,Flag,Vulnerability,2023,4
1,Distant water vessels on RFMO RAVs,Micronesia (FS of),Oceania,Western Pacific,Flag,Vulnerability,2023,2
1,Distant water vessels on RFMO RAVs,Monaco,Europe,Mediterranean & Black Sea,Flag,Vulnerability,2023,1
1,Distant water vessels on RFMO RAVs,Montenegro,Europe,Mediterranean & Black Sea,Flag,Vulnerability,2023,2
1,Distant water vessels on RFMO RAVs,Morocco,Africa,East Atlantic and Mediterranean,Flag,Vulnerability,2023,5
1,Distant water vessels on RFMO RAVs,Mozambique,Africa,West Indian Ocean,Flag,Vulnerability,2023,2
1,Distant water vessels on RFMO RAVs,Myanmar,Asia,East Indian Ocean,Flag,Vulnerability,2023,1
1,Distant water vessels on RFMO RAVs,Namibia,Africa,East Atlantic,Flag,Vulnerability,2023,2
1,Distant water vessels on RFMO RAVs,Nauru,Oceania,Western Pacific,Flag,Vulnerability,2023,2
1,Distant water vessels on RFMO RAVs,Netherlands,Europe,East Atlantic,Flag,Vulnerability,2023,2
1,Distant water vessels on RFMO RAVs,New Zealand,Oceania,Western Pacific,Flag,Vulnerability,2023,5
1,Distant water vessels on RFMO RAVs,Nicaragua,Caribbean & Central America,Eastern Pacific and West Atlantic,Flag,Vulnerability,2023,3
1,Distant water vessels on RFMO RAVs,Nigeria,Africa,East Atlantic,Flag,Vulnerability,2023,1
1,Distant water vessels on RFMO RAVs,Norway,Europe,East Atlantic,Flag,Vulnerability,2023,4
1,Distant water vessels on RFMO RAVs,Oman,Middle East,West Indian Ocean,Flag,Vulnerability,2023,1
1,Distant water vessels on RFMO RAVs,Pakistan,Asia,West Indian Ocean,Flag,Vulnerability,2023,1
1,Distant water vessels on RFMO RAVs,Palau,Oceania,Western Pacific,Flag,Vulnerability,2023,1
1,Distant water vessels on RFMO RAVs,Panama,Caribbean & Central America,Eastern Pacific and West Atlantic,Flag,Vulnerability,2023,5
1,Distant water vessels on RFMO RAVs,Papua New Guinea,Oceania,Western Pacific,Flag,Vulnerability,2023,2
1,Distant water vessels on RFMO RAVs,Peru,South America,Eastern Pacific,Flag,Vulnerability,2023,4
1,Distant water vessels on RFMO RAVs,Philippines,Asia,Western Pacific,Flag,Vulnerability,2023,4
1,Distant water vessels on RFMO RAVs,Poland,Europe,East Atlantic,Flag,Vulnerability,2023,2
1,Distant water vessels on RFMO RAVs,Portugal,Europe,East Atlantic,Flag,Vulnerability,2023,4
1,Distant water vessels on RFMO RAVs,Qatar,Middle East,West Indian Ocean,Flag,Vulnerability,2023,1
1,Distant water vessels on RFMO RAVs,Romania,Europe,Mediterranean & Black Sea,Flag,Vulnerability,2023,1
1,Distant water vessels on RFMO RAVs,Russia,Europe,East Atlantic and Western Pacific,Flag,Vulnerability,2023,5
1,Distant water vessels on RFMO RAVs,Saint Kitts & Nevis,Caribbean & Central America,West Atlantic,Flag,Vulnerability,2023,1
1,Distant water vessels on RFMO RAVs,Saint Lucia,Caribbean & Central America,West Atlantic,Flag,Vulnerability,2023,1
1,Distant water vessels on RFMO RAVs,Saint Vincent & the Grenadines,Caribbean & Central America,West Atlantic,Flag,Vulnerability,2023,1
1,Distant water vessels on RFMO RAVs,Samoa,Oceania,Western Pacific,Flag,Vulnerability,2023,1
1,Distant water vessels on RFMO RAVs,Sao Tome & Principe,Africa,East Atlantic,Flag,Vulnerability,2023,1
1,Distant water vessels on RFMO RAVs,Saudi Arabia,Middle East,West Indian Ocean,Flag,Vulnerability,2023,1
1,Distant water vessels on RFMO RAVs,Senegal,Africa,East Atlantic,Flag,Vulnerability,2023,2
1,Distant water vessels on RFMO RAVs,Seychelles,Africa,West Indian Ocean,Flag,Vulnerability,2023,3
1,Distant water vessels on RFMO RAVs,Sierra Leone,Africa,East Atlantic,Flag,Vulnerability,2023,1
1,Distant water vessels on RFMO RAVs,Singapore,Asia,Western Pacific,Flag,Vulnerability,2023,1
1,Distant water vessels on RFMO RAVs,Slovenia,Europe,Mediterranean & Black Sea,Flag,Vulnerability,2023,1
1,Distant water vessels on RFMO RAVs,Solomon Isl.,Oceania,Western Pacific,Flag,Vulnerability,2023,1
1,Distant water vessels on RFMO RAVs,Somalia,Africa,West Indian Ocean,Flag,Vulnerability,2023,1
1,Distant water vessels on RFMO RAVs,South Africa,Africa,West Indian Ocean and East Atlantic,Flag,Vulnerability,2023,4
1,Distant water vessels on RFMO RAVs,Spain,Europe,East Atlantic and Mediterranean,Flag,Vulnerability,2023,5
1,Distant water vessels on RFMO RAVs,Sri Lanka,Asia,East Indian Ocean,Flag,Vulnerability,2023,5
1,Distant water vessels on RFMO RAVs,Sudan,Africa,West Indian Ocean,Flag,Vulnerability,2023,1
1,Distant water vessels on RFMO RAVs,Suriname,South America,West Atlantic,Flag,Vulnerability,2023,1
1,Distant water vessels on RFMO RAVs,Sweden,Europe,East Atlantic,Flag,Vulnerability,2023,2
1,Distant water vessels on RFMO RAVs,Syria,Middle East,Mediterranean & Black Sea,Flag,Vulnerability,2023,1
1,Distant water vessels on RFMO RAVs,Taiwan,Asia,Western Pacific,Flag,Vulnerability,2023,5
1,Distant water vessels on RFMO RAVs,Tanzania,Africa,West Indian Ocean,Flag,Vulnerability,2023,1
1,Distant water vessels on RFMO RAVs,Thailand,Asia,East Indian Ocean and Western Pacific,Flag,Vulnerability,2023,2
1,Distant water vessels on RFMO RAVs,Timor-Leste,Asia,East Indian Ocean,Flag,Vulnerability,2023,1
1,Distant water vessels on RFMO RAVs,Togo,Africa,East Atlantic,Flag,Vulnerability,2023,1
1,Distant water vessels on RFMO RAVs,Tonga,Oceania,Western Pacific,Flag,Vulnerability,2023,1
1,Distant water vessels on RFMO RAVs,Trinidad & Tobago,Caribbean & Central America,West Atlantic,Flag,Vulnerability,2023,2
1,Distant water vessels on RFMO RAVs,Tunisia,Africa,Mediterranean & Black Sea,Flag,Vulnerability,2023,5
1,Distant water vessels on RFMO RAVs,Turkey,Middle East,Mediterranean & Black Sea,Flag,Vulnerability,2023,5
1,Distant water vessels on RFMO RAVs,Tuvalu,Oceania,Western Pacific,Flag,Vulnerability,2023,1
1,Distant water vessels on RFMO RAVs,Ukraine,Europe,Mediterranean & Black Sea,Flag,Vulnerability,2023,2
1,Distant water vessels on RFMO RAVs,United Arab Emirates,Middle East,West Indian Ocean,Flag,Vulnerability,2023,1
1,Distant water vessels on RFMO RAVs,United Kingdom,Europe,East Atlantic,Flag,Vulnerability,2023,3
1,Distant water vessels on RFMO RAVs,Uruguay,South America,West Atlantic,Flag,Vulnerability,2023,1
1,Distant water vessels on RFMO RAVs,USA,North America,Eastern Pacific and West Atlantic,Flag,Vulnerability,2023,5
1,Distant water vessels on RFMO RAVs,Vanuatu,Oceania,Western Pacific,Flag,Vulnerability,2023,4
1,Distant water vessels on RFMO RAVs,Venezuela,South America,West Atlantic,Flag,Vulnerability,2023,4
1,Distant water vessels on RFMO RAVs,Vietnam,Asia,Western Pacific,Flag,Vulnerability,2023,1
1,Distant water vessels on RFMO RAVs,Yemen,Middle East,West Indian Ocean,Flag,Vulnerability,2023,1
2,Distant water vessels under several RFMOs,Albania,Europe,Mediterranean & Black Sea,Flag,Vulnerability,2023,2
2,Distant water vessels under several RFMOs,Algeria,Africa,Mediterranean & Black Sea,Flag,Vulnerability,2023,2
2,Distant water vessels under several RFMOs,Angola,Africa,East Atlantic,Flag,Vulnerability,2023,
2,Distant water vessels under several RFMOs,Antigua & Barbuda,Caribbean & Central America,West Atlantic,Flag,Vulnerability,2023,
2,Distant water vessels under several RFMOs,Argentina,South America,West Atlantic,Flag,Vulnerability,2023,
